ICDO3.2	Level	Term	Code reference	obs	See also	See note	Includes	Excludes	Other text
NA	1	MORPHOLOGY	NA	NA	NA	NA	NA	NA	NA
800	2	Neoplasms, NOS	NA	NA	NA	NA	NA	NA	NA
8000/0	Preferred	Neoplasm, benign	NA	NA	NA	NA	NA	NA	NA
8000/0	Synonym	Tumor, benign	NA	NA	NA	NA	NA	NA	NA
8000/0	Synonym	Unclassified tumor, benign	NA	NA	NA	NA	NA	NA	NA
8000/1	Preferred	Neoplasm, uncertain whether benign or malignant	NA	NA	NA	NA	NA	NA	NA
8000/1	Synonym	Neoplasm, NOS	NA	NA	NA	NA	NA	NA	NA
8000/1	Synonym	Tumor, NOS	NA	NA	NA	NA	NA	NA	NA
8000/1	Synonym	Unclassified tumor, borderline malignancy	NA	NA	NA	NA	NA	NA	NA
8000/1	Synonym	Unclassified tumor, uncertain whether benign or malignant	NA	NA	NA	NA	NA	NA	NA
8000/3	Preferred	Neoplasm, malignant	NA	NA	NA	NA	NA	NA	NA
8000/3	Synonym	Blastoma, NOS	NA	NA	NA	NA	NA	NA	NA
8000/3	Synonym	Tumor, malignant, NOS	NA	NA	NA	NA	NA	NA	NA
8000/3	Synonym	Cancer	NA	NA	NA	NA	NA	NA	NA
8000/3	Synonym	Malignancy	NA	NA	NA	NA	NA	NA	NA
8000/3	Synonym	Unclassified tumor, malignant	NA	NA	NA	NA	NA	NA	NA
8000/6	Preferred	Neoplasm, metastatic	NA	NA	NA	NA	NA	NA	NA
8000/6	Synonym	Neoplasm, secondary	NA	NA	NA	NA	NA	NA	NA
8000/6	Synonym	Tumor embolus	NA	NA	NA	NA	NA	NA	NA
8000/6	Synonym	Tumor, metastatic	NA	NA	NA	NA	NA	NA	NA
8000/6	Synonym	Tumor, secondary	NA	NA	NA	NA	NA	NA	NA
8000/9	Preferred	Neoplasm, malignant, uncertain whether primary or metastatic	NA	NA	NA	NA	NA	NA	NA
8000/9	Synonym	Unclassified tumor, malignant, uncertain whether primary or metastatic	NA	NA	NA	NA	NA	NA	NA
