first_author,title,journal,pub_date,doi,pmid,pmcid,cites,pub_type,source,added,scopus_eid
Li Y,[Concepts of ontology-based neuroinformatics and their relations].,Beijing Da Xue Xue Bao Yi Xue Ban,2009-04-18,NA,19377637,NA,NA,Journal Article,ncbi_col-pubmed,2022-03-17T18:53:49Z,NA
Kronk CJ,<i>GNOMICS:</i> A one-stop shop for biomedical and genomic data.,AMIA Jt Summits Transl Sci Proc,2018-05-18,NA,29888054,PMC5961829,2015_NAR_Kibbe,Journal Article,pubmed,2022-03-17T18:47:32Z,NA
Rahman NIA,<i>NFIX</i> as a Master Regulator for Lung Cancer Progression.,Front Pharmacol,2017-08-21,10.3389/fphar.2017.00540,28871224,PMC5566971,2009_BMCG_Osborne,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Tastsoglou S,<i>PlasmiR</i>: A Manual Collection of Circulating microRNAs of Prognostic and Diagnostic Value.,Cancers (Basel),2021-07-22,10.3390/cancers13153680,34359584,PMC8345031,2018_DMM_Bello,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
Zeeshan S,100 Years of evolving gene-disease complexities and scientific debutants,Briefings in Bioinformatics,2020-05-21,10.1093/bib/bbz038,30972412,NA,2015_NAR_Kibbe,Journal|Review,scopus,2022-03-17T18:47:55Z,2-s2.0-85084916005
Mitraka E,2015 disease ontology update: DO's expanded curation activities to connect disease-related data,CEUR Workshop Proceedings,2015-01-01,NA,NA,NA,2015_DB_Wu|2012_NAR_Schriml|2009_BMCG_Osborne,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:11Z,2-s2.0-84960970656
Fathalla S,A Bidirectional-Based Spreading Activation Method for Human Diseases Relatedness Detection Using Disease Ontology,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2017-01-01,10.1007/978-3-319-67074-4_2,NA,NA,2015_NAR_Kibbe|2012_NAR_Schriml,Book Series|Conference Paper,scopus,2022-03-17T18:47:55Z,2-s2.0-85030867208
Iqtidar A,A biomedical ontology on genetic disease,ACM International Conference Proceeding Series,2017-03-22,10.1145/3018896.3018966,NA,NA,2012_NAR_Schriml,Conference Proceeding|Conference Paper,scopus,2022-03-17T18:48:19Z,2-s2.0-85044639758
Rebholz-Schuhmann D,A case study: Semantic integration of gene-disease associations for type 2 diabetes mellitus from literature and biomedical data resources,Drug Discovery Today,2014-01-01,10.1016/j.drudis.2013.10.024,24201223,NA,2009_BIX_Du,Journal|Review,scopus,2022-03-17T18:48:50Z,2-s2.0-84903791134
Feng G,A collection of bioconductor methods to visualize gene-list annotations.,BMC Res Notes,2010-01-19,10.1186/1756-0500-3-10,20180973,PMC2829581,2009_BIX_Du,Journal Article,pubmed; scopus; ncbi_col-pubmed,2022-03-17T18:47:32Z,NA
